Companies,Websites,Solutions,Place of Registration,Ownership 
Stratign FZCO,http://www.stratign.com/,Tactical Interception,ARE,N/A
FireDigit bvba,www.firedigit.com,Lawful Interception,BEL,N/A
Suntech Intelligence,http://www.suntechintelligence.com/,"Lawful Interception, Data Retention, Intelligent Interception Transmission ",BRA,N/A
ARCADIA aka ARC4DIA,http://www.arc4dia.com/,Exploits,CAN,N/A
"MERA Systems, Inc.",http://www.netbeholder.com/,"Internet surveillance, Monitoring",CAN,N/A
NETSWEEPER,http://www.netsweeper.com/ ,"Internet Monitoring, Filtering ",CAN,N/A
Dreamlab Technologies AG,http://www.dreamlab.net/,"Lawful interception, Lawful interception of VoIP, Trojans",CHE,N/A
ERA IT Solutions AG,http://www.era-it.ch/,Trojans,CHE,N/A
NEOSOFT,http://www.neosoft.ch/,Tactical GSM Interception,CHE,N/A
Huawei Technologies,,"Lawful Interception, COMINT ",CHN,N/A
Vixtel,,Lawful Interception,CHN,N/A
YTRAIL,,Social Network Intelligence,CHN,N/A
ZTE,,Lawful Interception,CHN,N/A
INVEA-TECH,,"Lawful Interception, Data Retention",CZE,N/A
Phonexia s.r.o.,,Speech Recognition,CZE,N/A
ATIS systems GmbH (ATIS UHER),,"Lawful Interception, Large Scale ComInt Monitoring ",DEU,N/A
DATAKOM,,"Lawful Interception, Interception Systems",DEU,N/A
DigiTask,,"Trojans, WiFi Interception",DEU,N/A
EBS-Electronic GmbH,,Tactical Tracking Devices,DEU,N/A
Elaman,,"Trojans, Strategic & Tactical Communication Monitoring, Intelligence Gathering ",DEU,DEU
GTEN DATAKOM,,Lawful Interception,DEU,N/A
IBH Impex,,"Tactical Satellite, GSM and Radio Interception, Internet Monitoring, Bugs, Sweeping (TCSM)",DEU,N/A
IPOQUE,,Deep Packet Inspection (DPI),DEU,N/A
KBI Optronics GmbH,,Surveillance and Reconnaissance Systems,DEU,N/A
Medav GmbH,,Radio Monitoring and Surveillance Solutions,DEU,DEU
@one IT GmbH,,Lawful Interception,DEU,N/A
PAD Datentechnik GmbH,,Covert Tracking Devices with Audio Transmission,DEU,N/A
PK-Electronic,,Tactical SIGINT/COMINT Systems,DEU,N/A
Plath GmbH,,"Communication Profiling, COPS, Thuraya Interception ",DEU,N/A
Rohde & Schwarz,,"HF-Monitoring, Direction Finding",DEU,DEU
Selectronic,,Tracking,DEU,N/A
Siemens,,"Intelligence Platform, Lawful Interception, Monitoring Center",DEU,DEU
Syborg,,Lawful Interception,DEU,"VERINT , ISR"
Trovicor,,"Lawful interception, Monitoring Centers, Siemens Intelligence Center",DEU,"PERUSA Holding , DEU"
Utimaco Safeware,,"Network Monitoring, Lawful interception, Data Retention ",DEU,"SOPHOS, GBR"
Vervis COMINT Services GmbH,,Monitoring,DEU,N/A
3M Services,,Lawful Interception,DEU,N/A
GAMMA Group,,"Trojans, Tactical Interception","DEU, GBR",N/A
ETI A/S,,"Lawful Interception, Monitoring",DNK,N/A
Spectronic Systems A/S,,Speech Recognition,DNK,N/A
Unispeed A/S,,Lawful Interception,DNK,N/A
AGNITIO S.L.,,Speech Recognition,ESP,N/A
Alcatel-Lucent,,Lawful Interception ,FRA,"Public (NYSE), FRA"
AMESYS,,"Tactical and Strategic Interception, Lawful Interception, COMINT, Monitoring, Speech Recognition",FRA,"BULL Group, FRA"
AQSACOM,,"Lawful Interception, Internet Monitoring ",FRA,N/A
QOSMOS,,"Network Intelligence, Deep Packet Inspection (DPI), Identity Tracking ",FRA,N/A
Thales,,"Surveillance, Detection and Intelligence Platform ",FRA,FRA
VUPEN,,Exploits,FRA,N/A
AUDIOTEL International,,Tactical COMINT Systems and Countermeasures,GBR,N/A
Cambridge Consultants,,Consultancy on mobile Surveillance,GBR,N/A
COBHAM,,Tactical GSM Interception,GBR,N/A
Creativity Software,,"Lawful interception, Location Positioning Infrastructure",GBR,N/A
DATONG,,"GSM Passive Surveillance, Tactical Interception",GBR,N/A
Delma MSS,,GSM Tracking,GBR,GBR
Detica,,Information/ Intelligence Processing,GBR,N/A
Griff Comm Ltd,,Covert Surveillance,GBR,N/A
Hidden Technology Systems International Ltd,,"Covert Tracking, Surveillance Devices",GBR,N/A
Newport Networks,,VoIP COMINT,GBR,N/A
Panoptech,,Convergent Intelligence Platform,GBR,N/A
